,doc1,doc2
0,2062,5649
1,2435,8217
2,3714,5000
3,1544,7730
4,725,5515
5,2523,2812
6,4260,8862
7,833,7071
8,5283,8485
9,4206,6737
10,1717,4252
11,4573,4950
12,8434,8496
13,1539,9852
14,1295,9521
15,3360,9846
16,2911,5583
17,5364,9289
18,464,4563
19,359,6024
20,1981,5146
21,3592,9785
22,2357,5534
23,73,339
24,907,5325
25,4887,7461
26,4589,9506
27,2702,3486
28,2307,6743
29,4405,7586
30,188,7113
31,4516,7404
32,5207,5214
33,1928,8662
34,1076,3719
35,6104,6871
36,2816,6532
37,3195,8997
38,440,1259
39,7344,8850
40,1694,8493
41,4338,9709
42,3684,4263
43,1022,7203
44,6035,7527
45,2931,5622
46,3198,9473
47,3692,5774
48,6479,9187
49,156,981
50,7721,8376
51,1215,2784
52,1300,6709
53,3512,5518
54,1300,7623
55,2129,2540
56,6709,7623
57,2071,4656
58,286,2030
59,6377,7159
60,1617,1794
61,2193,5305
62,2133,8752
63,3719,7083
64,2037,8802
65,2229,4518
66,4172,9770
67,2737,2952
68,1509,3910
69,2367,4243
70,5297,6392
71,211,4876
72,3590,5946
73,1880,6304
74,2749,7740
75,5054,9989
76,48,7283
77,4689,7537
78,3011,6798
79,6083,6936
80,272,7356
81,1436,3712
82,3938,4184
83,196,8030
84,3940,6834
85,3649,4720
86,2122,2681
87,4071,9796
88,684,4005
89,3800,6563
90,6217,9226
91,3432,8274
92,3354,5159
93,2318,4617
94,2098,5930
95,1030,2435
96,1219,9680
97,329,6284
98,1040,2663
99,4611,8108
100,648,6252
101,402,485
102,5230,5693
103,8107,9101
104,3882,9982
105,3271,8953
106,4345,6171
107,5901,9726
108,2250,6780
109,2539,4909
110,3247,6359
111,1227,6412
112,671,7167
113,2725,6022
114,5743,8992
115,1043,1828
116,1941,7761
117,4092,8511
118,1089,5945
119,8569,9412
120,1682,6841
121,1258,2192
122,6603,7196
123,3451,7910
124,2214,2814
125,6833,9730
126,5456,6848
127,2736,5498
128,5369,8848
129,738,3232
130,177,1691
131,3783,4635
132,1476,6449
133,7253,8945
134,1765,2556
135,641,2430
136,6674,9005
137,1370,2132
138,7705,8831
139,747,2728
140,5528,6423
141,320,3465
142,4531,7144
143,771,8706
144,6787,8042
145,3655,7634
146,3078,5603
147,206,512
148,704,3075
149,4298,6620
150,7133,9798
151,179,319
152,1018,8047
153,4521,9199
154,2288,9955
155,1076,7083
156,3602,9885
157,1281,5353
158,642,3884
159,5511,6461
160,503,8915
161,7220,9496
162,767,8400
163,4993,9489
164,3871,5911
165,3051,5328
166,5256,8577
167,605,7956
168,2419,8814
169,150,9907
170,7415,9998
171,218,3722
172,2347,4120
173,337,1742
174,2042,7773
175,1437,2047
176,2285,4392
177,7550,8659
178,2200,9066
179,2088,8811
180,2822,3498
181,192,5240
182,3041,6172
183,2277,9128
184,3446,4183
185,6818,7100
186,6228,7545
187,1416,3885
188,5829,7531
189,6837,8737
190,6722,6769
191,7587,9153
192,3887,5537
193,4214,9769
194,7234,8482
195,9334,9813
196,1369,7370
197,506,8728
198,1994,9265
199,3110,8362
200,2569,8490
201,5380,9603
202,5052,5497
203,1787,4410
204,5081,8927
205,1431,1800
206,8708,9305
207,3246,4501
208,4793,4884
209,7769,9469
210,2326,4659
211,6244,6711
212,2493,8338
213,715,5514
214,3332,5756
215,2526,8727
216,3434,9047
217,5762,9146
218,1482,5694
219,1793,5740
220,198,3306
221,7136,9452
222,812,4254
223,1119,5183
224,743,7215
225,3025,3906
226,979,4576
227,2504,2595
228,9458,9953
229,4895,7068
230,2024,7030
231,692,3668
232,6980,9809
233,5689,9479
234,7206,8187
235,1231,7695
236,353,8724
237,1552,7335
238,3977,4269
239,531,9454
240,3713,6949
241,1799,2730
242,5236,7016
243,3165,8080
244,3797,6740
245,2806,4879
246,3582,9783
247,828,6176
248,1982,9860
249,570,6548
250,4827,7082
251,7418,8657
252,5814,9830
253,97,4766
254,6103,6180
255,4,9957
256,186,5596
257,305,2673
258,4566,8919
259,6229,6613
260,7268,8154
261,2465,5801
262,1020,9637
263,686,6474
264,1030,8217
265,7808,8700
266,6916,9961
267,4103,6939
268,2976,4063
269,3983,5933
270,7315,8398
271,3646,6309
272,4358,4438
273,4148,6756
274,134,1582
275,6381,7440
276,3791,7233
277,1381,9592
278,1058,7296
279,5092,7673
280,2567,3185
281,1125,1686
282,729,2844
283,500,7830
284,8405,9823
285,661,1069
286,2982,9870
287,2792,5972
288,5050,8875
289,3845,6459
290,4945,9585
291,1955,4660
292,2901,6573
293,4102,6629
294,1171,4528
295,5681,7466
296,6061,9799
297,9213,9266
298,2243,5613
299,2564,9595
300,1912,9443
301,3539,6624
302,5107,9450
303,2153,9260
304,2140,5496
305,1320,9069
306,5037,9678
307,2246,8907
308,7821,8900
309,1278,3529
310,497,5921
311,7036,7936
312,50,5493
313,8020,9882
314,2528,3183
315,1359,4638
316,1752,3450
317,1106,3399
318,746,4099
319,1893,7432
320,399,7852
321,180,3239
322,685,5332
323,2620,9272
324,354,5894
325,6068,9302
326,5544,8158
327,5418,6075
328,1474,6700
329,8034,8559
330,2427,6665
331,4649,6899
332,1371,8955
333,705,7154
334,1411,8713
335,4304,4366
336,3000,9045
337,6117,6570
338,2690,7602
339,3121,4267
340,1654,8772
341,6346,6621
